irn,DarYearCollected,DarHigherTaxon,DarCollector,DarCollector2,DarStateProvince,DarCounty,DarLocality,DarIdentifiedBy
312828,1898,"Animalia, Echinodermata, Ophiuroidea, Ophiurida, Ophiacanthidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Near Low Duck Island","Clark, Austin Hobart"
312927,1898,"Animalia, Echinodermata, Ophiuroidea, Ophiurida, Ophiuridae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Between High Duck And Long Islands","Clark, Austin Hobart"
312681,1898,"Animalia, Echinodermata, Ophiuroidea, Ophiurida, Ophiuridae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Between Nantucket And High Duck Islands","Clark, Austin Hobart"
99044,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Amphipoda, Gammaridea, Uristidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Between High Duck And Long Island","Brunel, P."
722283,1898,"Animalia, Annelida, Oligochaeta, Tubificidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, Long Beach Under Stones","Brinkhurst, R. O."
718773,1898,"Animalia, Annelida, Oligochaeta, Tubificidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Long Beach, On Long Beach, Under Stones","Brinkhurst, R. O."
722331,1898,"Animalia, Annelida, Oligochaeta, Tubificidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Brinkhurst, R. O."
722334,1898,"Animalia, Annelida, Oligochaeta, Tubificidae",M.Rathbun,,New Brunswick,,Grand Manan Island,"Brinkhurst, R. O."
734018,1898,"Animalia, Annelida, Polychaeta, Errantia, Amphinomida, Euphrosinidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, E Of Low Duck","Benedict, James E."
170829,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Paguridae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island","Benedict, James E."
722333,1898,"Animalia, Annelida, Oligochaeta, Tubificidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Long Beach, Long Beach Under Stones","Baker, H. R."
357102,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Between High Duck And Long Islands","Ahearn, Cynthia, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
357099,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Low Duck Island, E Of Island","Ahearn, Cynthia, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
588887,1898,"Animalia, Porifera",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, Between Big Duck And Low Duck Islands",
20836,1898,"Animalia, Cnidaria, Hydrozoa, Leptolinae, Anthoathecatae, Filifera, Eudendriidae",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island",
590075,1898,"Animalia, Porifera",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, E Of Low Duck Island",
589305,1898,"Animalia, Porifera",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, Betwen High Duck And Long Islands",
590720,1898,"Animalia, Porifera",M.Rathbun,,New Brunswick,,"Bay Of Fundy, Grand Manan Island, Between Big Duck And Little Duck Islands",
403985,1898,"Animalia, Mollusca, Gastropoda, Dendronotidae",M.Rathbun,,New Brunswick,,Grand Manan Island,
15632,1898,"Animalia, Cnidaria, Hydrozoa, Leptolinae, Anthoathecatae, Capitata, Corymorphidae",M.Rathbun,,Massachusetts,,Between Nantucket And High Duck,
403992,1898,"Animalia, Mollusca, Gastropoda, Coryphellidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Off Swallow Tail Light",
307361,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New York,,Between High Duck And Long Island,
403997,1898,"Animalia, Mollusca, Gastropoda, Dendronotidae",M.Rathbun,,New Brunswick,,"Grand Manan Island, Flagg's Cove",
9331281,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331282,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331283,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331284,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331285,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331286,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331287,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331288,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331289,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
