barcode,catalog_no,order,family,family_name,collector_name,year_collected,country,province_state,ezid
3350719,1287592,Celastrales,Aquifoliaceae,Holly,M. V. Walcott,1926,United States,South Carolina,http://n2t.net/ark:/65665/3ade313f6-1b3e-4d9c-93a1-0b4f78b06476
2987820,1287594,Ericales,Ericaceae,Heather family,M. V. Walcott,1926,United States,South Carolina,http://n2t.net/ark:/65665/348495f17-7365-4381-b830-bf53990cfd14
2065164,1287591,Coniferales,Pinaceae,Pine family,M. V. Walcott,1926,United States,South Carolina,http://n2t.net/ark:/65665/3ec9ee979-a0d5-4450-93e8-0f60fd223a43
1957113,1438341,Gentianales,Gentianaceae,Gentians,M. V. Walcott,1929,Canada,Alberta,http://n2t.net/ark:/65665/3ec57e3a0-dfb9-4c13-81b1-19ae74bc2574
19821,1438342,Orchidales,Orchidaceae,Orchids,M. V. Walcott,1929,United States,California,http://n2t.net/ark:/65665/3ab7cef3d-5014-4e5a-b1d6-e9c3ca3e6750
2062546,1438343,Taxales,Taxaceae,Yews,M. V. Walcott,1929,United States,California,http://n2t.net/ark:/65665/399a0c0e2-3340-4d43-a5ec-40af3607930c
175935,1631706,Caryophyllales,Cactaceae,Cactus,M. V. Walcott,1934,United States,New Mexico,http://n2t.net/ark:/65665/3b7e8cbab-d6d8-4b4c-a7c5-7a89fb2504ea
2297760,1814831,Rosales,Fabaceae,legumes,M. V. Walcott,1937,United States,Colorado,http://n2t.net/ark:/65665/376c40e42-bb44-4fa5-acd3-9a504e664df5
2157545,1828597,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,United States,Arizona,http://n2t.net/ark:/65665/3deb451ea-5d05-4abe-8c08-c12da6ad631f
3235003,1828596,Gentianales,Gentianaceae,Gentians,M. V. Walcott,,United States,California,http://n2t.net/ark:/65665/38cc5a67c-25be-4dd3-bf57-c39aa9f1bfa6
2910825,1619162,Lamiales,Boraginaceae,Borages ,M. V. Walcott,,Canada,Alberta,http://n2t.net/ark:/65665/3ff6b29fe-ee28-4b3f-835a-bed079686e52
2276327,16191610,Rosales,Fabaceae,legumes,M. V. Walcott,,Canada,Alberta,http://n2t.net/ark:/65665/39ed97202-6f7a-4bfb-99c4-646f97f465a3
3233558,1619168,Gentianales,Gentianaceae,Gentians,M. V. Walcott,,Canada,Alberta,http://n2t.net/ark:/65665/3019c952b-4a50-4234-8db2-b81851745410
3234323,1619166,Gentianales,Gentianaceae,Gentians,M. V. Walcott,,Canada,Alberta,http://n2t.net/ark:/65665/3cbc7fea8-85ab-45d7-9007-966922aca5d6
3187687,1619161,Solanales,Hydrophyllaceae,Waterleaf family,M. V. Walcott,,Canada,Alberta,http://n2t.net/ark:/65665/34fb42e33-3de6-4200-a69b-612739640d90
3255532,1619154,Gentianales,Asclepiadaceae,Milkweeds,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/31a0e0770-852f-4bf7-8e8d-6aa7f2707863
1763516,,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/3680ffa74-e162-4627-b0d3-7439f6f7fe5f
2157903,69784,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/347856bc4-a0bd-475a-bc1c-44f5bde71eb5
2177129,74632,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/3466ff256-e8c9-4281-b3a4-4f6605b4c8b7
1440112,1085820,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/38c41b01a-121f-4323-b5ea-6bae7382b097
2174795,74096,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/3f5eb070f-5a46-49ec-aa3c-3c60471873a3
1863110,72959,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/305a82f92-3fff-4da8-b5c7-14fe135503b4
1697706,,Asterales,Asteraceae,Daisy family ,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/37500ef2a-33c0-4a9b-870e-4458ffdd50e7
492011,1085828,Asterales,Campanulaceae,Bellflower family,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/3d9b447e0-524b-4bfe-bcd7-a00f9dd295bb
967732,1619153,Asterales,Campanulaceae,Bellflower family,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/32c667198-78ec-4ea0-9107-a79b2a4d1fc4
2329520,1619144,Rosales,Fabaceae,legumes,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/321dd95c5-935d-4510-a52b-7c250ffc5555
3187418,1619149,Solanales,Hydrophyllaceae,Waterleaf family,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/36c31c4cc-4ac2-4c4c-b45c-cfd1ddda7db7
466889,1619146,Orchidales,Orchidaceae,Orchids,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/310c05d0a-5e04-45ff-b373-d822a8ccb142
5743,1619152,Orchidales,Orchidaceae,Orchids,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/3ba73bdef-a9bf-4309-ae1e-649e90a44f41
20480,1085913,Orchidales,Orchidaceae,Orchids,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/34b9fe104-d725-4d19-8d0c-cf0bd6339d18
3012414,1619145,Violales,Violaceae,Violet family,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/360302ce7-6ca8-4056-8edd-e0f2534c7c55
1924497,1619155,Santalales,Santalaceae,Santalaceae,M. V. Walcott,,Canada,British Columbia,http://n2t.net/ark:/65665/3a3d62847-e5d4-4d8d-975d-d61f68523c73
